SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,SAL-UNI-60119594-1,CVD-0019896,SAL-UNI-60119594-1,,,,,,,,,,
COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,SAL-UNI-60119594-2,CVD-0019897,SAL-UNI-60119594-2,,,,,,,,,,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,SAL-UNI-60119594-3,CVD-0019898,SAL-UNI-60119594-3,,,,,,,,,,
CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,SAL-UNI-60119594-4,CVD-0019899,SAL-UNI-60119594-4,,,,,,,,,,
CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,SAL-UNI-60119594-5,CVD-0019900,SAL-UNI-60119594-5,,,,,,,,,,
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,SAL-UNI-60119594-6,CVD-0019901,SAL-UNI-60119594-6,,,,,,,,,,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,SAL-UNI-60119594-7,CVD-0019902,SAL-UNI-60119594-7,,,,,,,,,,
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,SAL-UNI-60119594-8,CVD-0019903,SAL-UNI-60119594-8,,,,,,,,,,
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,SAL-UNI-60119594-9,CVD-0019904,SAL-UNI-60119594-9,,,,,,,,,,
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,SAL-UNI-60119594-10,CVD-0019905,SAL-UNI-60119594-10,,,,,,,,,,
C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,ASA-WEI-839d033f-1,CVD-0019895,ASA-WEI-839d033f-1,,,,,,,,,,
